country,wave1,wave2,wave3,wave4,wave5,wave6,wave7,wave8,wave9,wave10,wave11,wave12,wave13,wave14,wave15,wave16,wave17,wave18,wave19
AR,0.0015703616625111756,0.001250697677990178,0.0018297258267541622,0.0018895460998869559,0.0020722003202442224,0.0025516251549892975,0.0021737038026298536,0.0019794047132283862,0.002041390811090876,0.0018399503332880015,0.0021012606215043412,0.0020666576479491045,0.00186652269932442,0.0019619348968023978,0.0019451506234749929,0.0022029983821749777,0.002071939491088243,0.0020517824622216575,0.0021721961622101246
BD,0.0025441544333478505,0.0020736969048358853,0.0023374846844869926,0.0024822458753529643,0.002529953201138087,0.00536120164105173,0.002675983098952512,0.002743098414773318,0.002976848442083297,0.0029342074590758037,0.0026100779003665688,0.0025881998853222376,0.002422322349430619,0.002742961936138301,0.003092063638821631,0.0027160362288519723,0.0024147683245511007,0.0023606184590178633,0.002806178082986868
BR,0.0015935946307538604,0.0012083044799426573,0.0014482222527183578,0.0017635012683923938,0.0015993116690328048,0.0022842370177030766,0.0016539951886069939,0.0023698104614887946,0.0018312445124216974,0.001936253678221751,0.0019579834707206646,0.0018647634036206317,0.0018239180370899159,0.0018396009648799937,0.00197306174606151,0.0018355222387701155,0.0015796239595835177,0.0017061473385419391,0.0013785403381780276
CO,0.001595629509623969,0.0017529580773572194,0.0016631836531199517,0.0018675564161479013,0.0021871140244589457,0.0026854614388691815,0.0022397461244989,0.002134292203550134,0.0019081041578493851,0.002036352944965115,0.001972665357271596,0.0020482041345165052,0.00220622691566438,0.0021451653126105617,0.001933696380976481,0.0019175046741854772,0.0016577904683923125,0.002074157853793502,0.0018449493217627616
DE,0.0021642587371612956,0.0016371743377604315,0.0016994001718156802,0.002226212243245998,0.001989787398588381,0.0038070697294106514,0.0021032068006426293,0.0018688048845864086,0.0019816003591901572,0.0017906422569685745,0.0020321396074726088,0.001872498834247371,0.001990400877999732,0.001982587136067074,0.0017677127541175252,0.0019011090221606047,0.0018891145159735437,0.001511370615781581,0.0027888373971996366
EG,0.002034933430670406,0.0020165358711276,0.002463683006478151,0.0026544342918754607,0.0026790420767012326,0.004798833361730632,0.0024323420674853646,0.0027992318758241026,0.0024447654132771376,0.0025188507539723433,0.002103272712341679,0.002504731061160083,0.0024594933713259935,0.0028489875149165355,0.0023277486201320466,0.0023280422058641957,0.002421445203074087,0.002045751502931165,0.00233890226612501
FR,0.0017660194404233367,0.001471767066239169,0.0015604266492965182,0.002029529261044,0.0018181066356894224,0.0026049106711344876,0.0022151392948609365,0.0019368005806064312,0.002073936027945564,0.0018865788797895256,0.0014945831093234488,0.0019017427472491418,0.001743119589747784,0.0017950146969959416,0.0017007236858556352,0.0016294398806213169,0.001947528513165707,0.0016744409379849917,0.0018663829130935701
GB,0.0015167528225808655,0.0014498730664721862,0.001398477767206559,0.001822375992444541,0.0018996451087707575,0.0020079543336261945,0.002264285847357663,0.0021540157756364153,0.003473637405809417,0.0017952406985599718,0.0051435111131215095,0.0017083118163372926,0.0016357036253773067,0.0015413775646903845,0.0014649873927928163,0.001346263734441572,0.0015667586102671841,0.0019116100131537398,0.001192145128270075
ID,0.0019505695771020422,0.0018754398515934741,0.0020317678091409824,0.001982727339862098,0.0021950564010463957,0.0028422278740724977,0.0020664728851746117,0.0024834208784891704,0.0020640292205475427,0.0020576050565665415,0.0019950025018688074,0.0022840954526325494,0.0021168401702477396,0.001977166537073923,0.0022827994113624093,0.0020953673838235336,0.0020926327834809954,0.002302816998935266,0.0015677669700523463
IN,0.002246876522409326,0.0020390048978933726,0.0022497166974227846,0.0031658420927587793,0.0021182341708223577,0.004318726330655913,0.002639974836644446,0.002989464549138211,0.002797505441602116,0.002644800731772346,0.002710486873677437,0.0025813330577061444,0.0028768396248650945,0.0027833634816462408,0.002382193776642391,0.002380316494971951,0.002555939565361821,0.0023306342504020726,0.002399120418829913
IT,0.0018813588113273244,0.003040519148304953,0.0016974581963059118,0.0017442285254821899,0.001971238144085057,0.0026083896098216546,0.0020843285607979856,0.002190010130257447,0.0021574656354170518,0.0020530971383471317,0.0019147792474544494,0.0017982508029552526,0.0018590432916667245,0.0017422160110297264,0.001881929903076798,0.0016824825656820133,0.0017778900158103353,0.0017153904841400117,0.0017335301211934804
JP,0.0021257348666406718,0.0018706050236019674,0.002212229910921741,0.0018752919104647603,0.002247920509632697,0.006203340299301919,0.0024106001702975995,0.002610312572130304,0.0022553698728451583,0.001877208341288,0.002491356087781233,0.0022105934807739895,0.0025645866022643354,0.0022485461049721995,0.002229741705649927,0.002594022205750404,0.0023839144143330115,0.00197260473758501,0.0021309190179775173
MX,0.002122598272056348,0.00204702960927977,0.001873502571090281,0.0023790519634720054,0.002177279981254484,0.0035180331325248247,0.002406130757613929,0.0023851814206826446,0.0020920580162277903,0.002090065827970116,0.0020933809751223784,0.0021795364943044565,0.0020128304932829663,0.0019330651926943848,0.0020910393038853703,0.0019603953229947297,0.0020516220932463997,0.0017748498185452704,0.001657263346061937
MY,0.0015879178445104224,0.0015797546675568941,0.0017674444047145123,0.002084132313349577,0.0016883347499981733,0.0036798341713623795,0.0017836159749470232,0.002061875183479069,0.0018399889302677266,0.0020053519849442033,0.001703458996157297,0.0019810470427030673,0.0017579772810251096,0.001987995295498412,0.0017629167199063448,0.0018766823969445354,0.0017669165147574566,0.001803125622986328,0.0016039588533980095
NG,0.0022355640034905674,0.002882682808301576,0.0023993110484499306,0.002439507985834906,0.002375118891843395,0.0035204423592329385,0.0025475313709626955,0.0025329107083458145,0.0025899870254130217,0.0026972504245884295,0.0023647093070066076,0.0025384585100300906,0.002355496282755738,0.0021979436587354633,0.0023546461861447847,0.002163179303235687,0.0026089405720819245,0.002192164212372794,0.002724133489957913
PH,0.0020996472754247586,0.0022662630090086624,0.002411085657461534,0.0024835597516435423,0.002493054856451662,0.004162565544660032,0.0025578964490999773,0.002202132846409267,0.002631553714577054,0.0022784383564111513,0.0022192293385272033,0.0022787495844750144,0.0021778196405401714,0.002375550709793374,0.002116974045906618,0.0023499170390427855,0.0023127577989187583,0.0025113934003409507,0.0022667336985182345
PK,0.0025874056057209743,0.002325679707834401,0.0030526776436523863,0.002469420453367615,0.0033872452406818543,0.005330796051119846,0.003006890554191823,0.0029966934439315616,0.0025993499652980524,0.002855166857722666,0.0027131883431177305,0.0029592678414344415,0.002427611837338662,0.0028901255114142715,0.0025984340651946923,0.0023055820891314843,0.0024995629779649936,0.002708154768437612,0.002360004679924199
PL,0.0017166406898348483,0.0016691840131903576,0.0015506281414439445,0.001914285079377878,0.002144921804875838,0.0035316355697052057,0.0017491849996361505,0.0022640190711957836,0.0022848122688818766,0.0016803611661127093,0.001678854871028078,0.0016515493413925976,0.001811774954680335,0.0016986068067628456,0.0015579996102656512,0.0019265401447439586,0.0017324649445744015,0.0016262283889866347,0.0017514202132999695
RO,0.0019058635350701046,0.001982447135786724,0.0017900112524800844,0.002328808476013416,0.002408711859765448,0.0036031407269214912,0.0019926261663944416,0.00212244514790645,0.0021072255321150663,0.0018327263862735256,0.0020927754734429743,0.0021859740672801977,0.001828485936906708,0.002030346580801641,0.0016666489553384312,0.0018545695912827855,0.0020208384520567623,0.0022746607169603947,0.0021776747556247083
TH,0.0016540823458277864,0.001618788377164041,0.0014537000252137593,0.0021945035264724507,0.0020483169946353846,0.0019895761567440533,0.002223243995494003,0.0022144974839920927,0.0019022087719029798,0.0016316176940218928,0.001733415077003757,0.0017461474578204335,0.002055838860206875,0.0019808347809843452,0.0019560924794603924,0.0020229881276798154,0.0019265982965131644,0.0016808935842624376,0.0016825470371189676
TR,0.002207035511423785,0.001843159710040586,0.001843662742981598,0.0021077813897009434,0.00246687851532391,0.004615376630151514,0.00210945463920598,0.00268792957061745,0.002070134307571854,0.00225133921502561,0.0025321914834834313,0.0022945403345460834,0.0023749048261662207,0.0021782619187045815,0.0018653875227776448,0.0022759665460870466,0.002344077177190224,0.002089801937650734,0.0018104551782897685
US,0.0023434342355500206,0.001711462718755867,0.001674156033501953,0.00202611849247335,0.002146054511954762,0.0042475616777581625,0.0017991305841606499,0.002267129450232028,0.002314916235014424,0.0019902119637976623,0.001818760028103742,0.0019869781455145925,0.002150556328923774,0.0019650664843294096,0.0023209906212418425,0.0024151825602772596,0.00195975603583532,0.0023957352613321737,0.0020874484772217972
VN,0.0018023175804595998,0.0015587517254405253,0.0014516124864764114,0.002012476439225082,0.0026282758355155584,0.004424269739138871,0.0019698001847730144,0.0028800103527690415,0.0025288396002602943,0.002597635207113634,0.002294811369094904,0.002166325999693936,0.0019059810405548348,0.002635503944905855,0.0023773418293756223,0.002040507727138031,0.002110023327591045,0.001785938263672079,0.0021498108381465047
